Code ue;Matiere;Semestre;ParcoursID;ue ID
PHY129;Statique et Dynamique I;1;1095;409
ANG100;Anglais : Ecouter et Parler;2;1095;410
FRA100;Français : Ecouter et Parler;2;1095;411
GEM200;Dessin Technique II;2;1095;412
INF200;Algorithme et structures de données;2;1095;413
MTH102;Structure algébrique de base;2;1095;414
MTH103;Calcul Différentiel dans IR;2;1095;415
PHY209;Electrocinétique;2;1095;416
PHY219;Lumière et application II;2;1095;417
PHY229;Statique et Dynamique II;2;1095;418
ANG101;Anglais : Lire  et Ecrire;3;1095;419
ECO300;Economie Générale;3;1095;420
FRA101;Français : Lire  et Ecrire;3;1095;421
GEM310;Fabrication Mécanique I;3;1095;422
GEM315;Productique;3;1095;423
GEM330;Construction Mécanique I;3;1095;424
MTH221;Suites et séries des fonctions et intégrales dépendant d'un paramètre;3;1095;425
PHY309;Magnétostatique et Régimes variables;3;1095;426
PHY329;Thermodynamique classique;3;1095;427
STA160;Calculs de probabilité et statistique;3;1095;428
ANG201;Anglais de spécialité : approche thématique des textes;4;1095;429
FRA205;Français : Ecrits professionnels;4;1095;430
GEM105;Statique Appliquée;4;1095;431
GEM122;Introduction à la Mécanique des fluides;4;1095;432
GEM135;TP Fabrication Mécanique I;4;1095;433
GEM300;Introduction à la Conception Assistée par Ordinateur;4;1095;434
INF300;Programmation Orientée Objet;4;1095;435
INF305;Introduction au Système UNIX;4;1095;436
MTH104;Calcul Intégral et applications;4;1095;437
PHY319;Magnétostatique et Régimes variables II;4;1095;438
GEL420;Circuits et Mesures Electriques;5;1095;439
GEM340;Fabrication mécanique II;5;1095;440
GEM405;Bureau des Méthodes I;5;1095;441
GEM410;Construction Mécanique II;5;1095;442
GEM420;TP Fabrication Mécanique II;5;1095;443
MTH400;Analyse Numérique;5;1095;444
MTH410;Fonctions spéciales et Equations aux dérivées partielles;5;1095;445
MTH420;Analyse tensorielle et introduction à la MMC;5;1095;446
CPT400;Comptabilité;6;1095;447
DRI400;Gestion de la Propriété Industrielle;6;1095;448
GEM320;Résistance des matériaux I;6;1095;449
GEM415;Fabrication mécanique III;6;1095;450
GEM416;Hydraulique et pneumatique;6;1095;451
GEM434;Construction Mécanique III;6;1095;452
GEM440;Bureau des Méthodes II;6;1095;453
GEM480;Projet de conception Génie Mécanique;6;1095;454
GEM495;Mécanique des milieux continus;6;1095;455
ANG1120;Anglais : expression orale et écrite;1;1075;456
CHM1125;Chimie appliquée : notions de base;1;1075;457
FRA1120;Français : expression orale et écrite;1;1075;458
GEC1122;Géologie appliquée;1;1075;459
GEC1123;Mécanique appliquée au génie civil;1;1075;460
GEC1124;Hydrologie de l’ingénieur, notion de base;1;1075;461
GEC1125;Topographie;1;1075;462
GEL1120;Installations électriques;1;1075;463
GEM1125;Géométrie descriptive;1;1075;464
MTH1125;Eléments d'algèbre et de géométrie;1;1075;465
PHY1125;Electrostatique et applications;1;1075;466
ANG1220;Anglais lire et écrire;2;1075;467
CHM1225;Chimie appliquée : notions avancées;2;1075;468
FRA1220;Français : Lire et Ecrire;2;1075;469
GEC1224;Technologie des ouvrages;2;1075;470
GEC1225;Géotechnique;2;1075;471
GEC1226;Matériaux de construction;2;1075;472
GEC1227;Topographie applications;2;1075;473
INF1225;Informatique;2;1075;474
MTH1225;Eléments d'analyse mathématique;2;1075;475
FRA1321;Français : Ecrits professionnels;3;1075;476
GEC1325;Calcul de Structures;3;1075;477
GEC1326;Techniques de construction;3;1075;478
GEC1327;Hydrolique de base;3;1075;479
GEC1328;Construction métallique : Notions de base et technologie;3;1075;480
MTH1325;Intégrales généralisés, Transformés de Fourier et de Laplace et Application;3;1075;481
MTH1326;Introduction au calcul de probabilités et statistiques;3;1075;482
ANG1421;Anglais de spécialité : approche thématique des textes;4;1075;483
GEC1424;Béton Armé;4;1075;484
GEC1425;Physique du bâtiment;4;1075;485
GEC1426;Dessin appliqué;4;1075;486
GEC1427;Routes;4;1075;487
GEC1458;Gestion de chantier;4;1075;488
DRV1520;Propriété industrielle : Notions générales;5;1075;489
GEC1521;Etude de DAO et soumission;5;1075;490
GEC1525;Métré et étude de prix;5;1075;491
GEC1528;Eau et assainissement;5;1075;492
GEO1523;Initiation au système d'information géographique SIG;5;1075;493
INF1526;Logiciels professionnels;5;1075;494
MGT1520;Vie professionnelle et entrepreneuriat;5;1075;495
MGT1521;HSQE;5;1075;496
GEC1629;Stage et mémoire de licence professionnelle génie civil, conducteur des travaux;6;1075;497
ANG1120;Anglais : Ecouter et Parler;1;1076;498
CHM1120;Chimie Appliquée pour Tech. Sup. : Notions de Base;1;1076;499
FRA1120;Français : Ecouter et Parler;1;1076;500
GEL1120;Circuits Electriques;1;1076;501
GEL1121;Introduction à l’Electronique Générale par la Pratique;1;1076;502
GEM1123;Notions sur la Résistance de Matériaux;1;1076;503
GEM1125;"Géométrie Descriptive pour Tech ; Sup.";1;1076;504
MTH1125;Eléments d’Algèbre et de Géométrie;1;1076;505
PHY1120;Mécanique Appliquée au point Matériel;1;1076;506
PHY1125;Electrostatique et applications;1;1076;507
ANG1220;Anglais : Lire et Ecrire;2;1076;508
CHM1225;Chimie appliquée, notions avancées;2;1076;509
FRA1220;Français : Lire et Ecrire;2;1076;510
GEL1220;Transformateurs et Machines Asynchrones;2;1076;511
GEL1221;Mesure etEssais et câblage;2;1076;512
INF1226;Introduction à la Programmation;2;1076;513
MTH1225;Elément d’Analyse Mathématique;2;1076;514
NF1225;Informatique de Base;2;1076;515
PHY1225;Introduction à la Physique des capteurs;2;1076;516
PHY1226;Résistance des Matériaux;2;1076;517
PHY1227;Mécanique Appliquée au Solide;2;1076;518
FRA1320;Français : Ecrits Professionnels;3;1076;519
GEL1320;Installations et alimentation Electriques;3;1076;520
GEL1321;Electronique analogique et digitale;3;1076;521
GEL1322;Machines à Courant Continu et Machines Synchrones;3;1076;522
INF1325;Mise œuvre de systèmes Informatiques;3;1076;523
INF1326;Technologie des Ordinateurs;3;1076;524
MTH1325;Intégrales Généralisées, Transformées de Fourier et de Laplace et Applications;3;1076;525
MTH1326;Calcul de probabilités et statistiques;3;1076;526
ANG1420;Anglais de spécialité : approche thématique des textes;4;1076;527
GEL1421;Asservissement et regulation analogique;4;1076;528
GEL1422;Automates Programmables par la Pratique;4;1076;529
GEL1423;Introduction à la Production Transport, Distribution et Protection;4;1076;530
GEL1424;Lignes-Antennes-Propagation (LAP);4;1076;531
