code_ue,nom_matiere,semestre,id_parcours,ue_id,id_enseignant
GEM215,Notion de RDM pour Ingénieur en GE,4,1093,322,142375
INF300,Programmation Orientée Objet,4,1093,323,416420
INF305,Introduction au Système UNIX,4,1093,324,719471
MTH104,Calcul Intégral et applications,4,1093,325,680561
PHY319,Magnétostatique et Régimes variables II,4,1093,326,808869
GEL400,Electronique I,5,1093,327,589155
GEL410,Circuits Electriques,5,1093,328,241174
GEM301,Construction Mécanique pour GE,5,1093,329,141188
MGT400,Electromagnétisme I,5,1093,330,887135
MTH400,Analyse Numérique,5,1093,331,221365
MTH410,Fonct. Spéc. et Equat. aux Dériv. Part.,5,1093,332,699380
MTH420,Analyse tensor. et introd. à la MMC,5,1093,333,139208
PHY329,Introduction à la thermodynamique,5,1093,334,808869
CPT400,Comptabilité,6,1093,335,987150
DRI400,Gestion de la Propriété Industrielle,6,1093,336,607932
GEL402,Mesures Electriques,6,1093,337,992676
GEL404,Appareillages Electriques & Câblage,6,1093,338,968801
GEL450,Electronique II,6,1093,339,887574
GEL452,Systèmes Logiques,6,1093,340,281348
GEL454,Systèmes-Simulations-Signaux,6,1093,341,153559
GEL456,Machines Electriques I,6,1093,342,739351
GEL528,Traitement du Signal,6,1093,343,279397
CHM107,Chimie appliquée,1,1094,344,176040
CHM113,Chimie par la Pratique,1,1094,345,287992
GEM100,Dessin Technique I,1,1094,346,447789
GEM110,Géométrie descriptive,1,1094,347,887574
INF100,Système d'exploitation et introduction à la programmation,1,1094,348,625454
MTH100,Bases mathématiques,1,1094,349,150819
MTH101,Algèbre linéaire de base,1,1094,350,392665
PHY109,Electrostatique,1,1094,351,880393
PHY119,Lumière et application I,1,1094,352,234788
PHY129,Statique et Dynamique I,1,1094,353,607932
ANG100,Anglais : Ecouter et Parler,2,1094,354,625454
FRA100,Français : Ecouter et Parler,2,1094,355,255764
GEM200,Dessin Technique II,2,1094,356,107649
INF200,Algorithme et structures de données,2,1094,357,983175
MTH102,Structure algébrique de base,2,1094,358,785671
MTH103,Calcul Différentiel dans IR,2,1094,359,579198
PHY209,Electrocinétique,2,1094,360,180503
PHY219,Lumière et application II,2,1094,361,636876
PHY229,Statique et Dynamique II,2,1094,362,887574
ANG101,Anglais : Lire  et Ecrire,3,1094,363,992676
ECO300,Economie Générale,3,1094,364,848595
FRA101,Français : Lire  et Ecrire,3,1094,365,720783
GEC110,Matériaux tropicaux,3,1094,366,169185
GEC125,Dessin de Génie Civil,3,1094,367,852973
GEC151,Machines de chantier,3,1094,368,419941
GEM310,Fabrication Mécanique I,3,1094,369,992703
MTH221,Suites et séries des fonctions,3,1094,370,254977
PHY309,Magnétostatique et Régimes variables I,3,1094,371,954001
STA160,Calcul de probabilités et statistiques,3,1094,372,574018
ANG201,Anglais de spécialité : approche thématique des textes,4,1094,373,144428
FRA205,Français : Ecrits professionnels,4,1094,374,419941
GEC115,Géologie appliquée,4,1094,375,234419
GEC127,Dessin d'architecture,4,1094,376,764594
GEM105,Statique Appliquée,4,1094,377,767800
GEM122,Introduction à la Mécanique des fluides,4,1094,378,688827
INF300,Programmation Orientée Objet,4,1094,379,790245
INF305,Introduction au Système UNIX,4,1094,380,980659
MTH104,Calcul Intégral et applications,4,1094,381,545511
PHY319,Magnétostatique et Régimes variables II,4,1094,382,662148
GEC120,Topographie,5,1094,383,650718
GEC130,Matériaux de construction des ouvrages de GC,5,1094,384,829442
GEC220,Initiation au DAO,5,1094,385,191950
GEC305,Ecoulement en charge,5,1094,386,186249
GEM210,Résistance des Matériaux pour GC,5,1094,387,834190
MTH400,Analyse Numérique,5,1094,388,779207
MTH410,Fonctions spéciales et équations aux dérivées partielles,5,1094,389,495082
MTH420,Analyse tensorielle et introduction à la MMC,5,1094,390,435586
CPT400,Comptabilité,6,1094,391,502425
DRI400,Gestion de la proprieté industrielle,6,1094,392,938149
GEC160,Conception bâtiments,6,1094,393,327503
GEC235,Projet de topographie,6,1094,394,913036
GEC310,Ecoulement à surface libre,6,1094,395,808285
GEC315,Structures,6,1094,396,881813
GEC370,Hydrologie de l'ingénieur,6,1094,397,415403
GEL307,Equipements électriques,6,1094,398,399076
GEM495,Mécanique des milieux continus,6,1094,399,683110
CHM107,Chimie appliquée,1,1095,400,616021
CHM113,Chimie par la Pratique,1,1095,401,808869
GEM100,Dessin Technique I,1,1095,402,142375
GEM110,Géométrie Descriptive de base,1,1095,403,932700
INF100,Système d'exploitation et introduction à la programmation,1,1095,404,767800
MTH100,Bases mathématiques,1,1095,405,320954
MTH101,Algèbre linéaire de base,1,1095,406,234419
PHY109,Electrostatique,1,1095,407,881813
PHY119,Lumière et application I,1,1095,408,811851
PHY129,Statique et Dynamique I,1,1095,409,639813
ANG100,Anglais : Ecouter et Parler,2,1095,410,279397
FRA100,Français : Ecouter et Parler,2,1095,411,793117
GEM200,Dessin Technique II,2,1095,412,848595
INF200,Algorithme et structures de données,2,1095,413,153031
MTH102,Structure algébrique de base,2,1095,414,983736
MTH103,Calcul Différentiel dans IR,2,1095,415,747692
PHY209,Electrocinétique,2,1095,416,681030
PHY219,Lumière et application II,2,1095,417,447789
PHY229,Statique et Dynamique II,2,1095,418,153559
ANG101,Anglais : Lire  et Ecrire,3,1095,419,837272
ECO300,Economie Générale,3,1095,420,296062
FRA101,Français : Lire  et Ecrire,3,1095,421,279397
GEM310,Fabrication Mécanique I,3,1095,422,735043
GEM315,Productique,3,1095,423,680561
GEM330,Construction Mécanique I,3,1095,424,400838
MTH221,Suites et séries des fonctions et intégrales dépendant d'un paramètre,3,1095,425,502637
PHY309,Magnétostatique et Régimes variables,3,1095,426,987150
PHY329,Thermodynamique classique,3,1095,427,276381
STA160,Calculs de probabilité et statistique,3,1095,428,997807
ANG201,Anglais de spécialité : approche thématique des textes,4,1095,429,246911
FRA205,Français : Ecrits professionnels,4,1095,430,169185
GEM105,Statique Appliquée,4,1095,431,973017
GEM122,Introduction à la Mécanique des fluides,4,1095,432,675916
GEM135,TP Fabrication Mécanique I,4,1095,433,714780
GEM300,Introduction à la Conception Assistée par Ordinateur,4,1095,434,530804
INF300,Programmation Orientée Objet,4,1095,435,447789
INF305,Introduction au Système UNIX,4,1095,436,619709
MTH104,Calcul Intégral et applications,4,1095,437,392665
PHY319,Magnétostatique et Régimes variables II,4,1095,438,497702
GEL420,Circuits et Mesures Electriques,5,1095,439,694074
GEM340,Fabrication mécanique II,5,1095,440,378704
GEM405,Bureau des Méthodes I,5,1095,441,835832
GEM410,Construction Mécanique II,5,1095,442,790245
GEM420,TP Fabrication Mécanique II,5,1095,443,451320
MTH400,Analyse Numérique,5,1095,444,241174
MTH410,Fonctions spéciales et Equations aux dérivées partielles,5,1095,445,965594
MTH420,Analyse tensorielle et introduction à la MMC,5,1095,446,141188
CPT400,Comptabilité,6,1095,447,987817
DRI400,Gestion de la Propriété Industrielle,6,1095,448,852973
GEM320,Résistance des matériaux I,6,1095,449,394695
GEM415,Fabrication mécanique III,6,1095,450,680975
GEM416,Hydraulique et pneumatique,6,1095,451,200972
GEM434,Construction Mécanique III,6,1095,452,327503
GEM440,Bureau des Méthodes II,6,1095,453,757394
GEM480,Projet de conception Génie Mécanique,6,1095,454,652365
GEM495,Mécanique des milieux continus,6,1095,455,153031
ANG1120,Anglais : expression orale et écrite,1,1075,456,449857
CHM1125,Chimie appliquée : notions de base,1,1075,457,940842
FRA1120,Français : expression orale et écrite,1,1075,458,554469
GEC1122,Géologie appliquée,1,1075,459,709172
GEC1123,Mécanique appliquée au génie civil,1,1075,460,983175
GEC1124,"Hydrologie de l’ingénieur, notion de base",1,1075,461,871885
GEC1125,Topographie,1,1075,462,493313
GEL1120,Installations électriques,1,1075,463,204317
GEM1125,Géométrie descriptive,1,1075,464,276381
MTH1125,Eléments d'algèbre et de géométrie,1,1075,465,997807
PHY1125,Electrostatique et applications,1,1075,466,766149
ANG1220,Anglais lire et écrire,2,1075,467,448233
CHM1225,Chimie appliquée : notions avancées,2,1075,468,554469
FRA1220,Français : Lire et Ecrire,2,1075,469,311995
GEC1224,Technologie des ouvrages,2,1075,470,310304
GEC1225,Géotechnique,2,1075,471,814490
GEC1226,Matériaux de construction,2,1075,472,627738
GEC1227,Topographie applications,2,1075,473,764594
INF1225,Informatique,2,1075,474,808869
MTH1225,Eléments d'analyse mathématique,2,1075,475,832556
FRA1321,Français : Ecrits professionnels,3,1075,476,947373
GEC1325,Calcul de Structures,3,1075,477,138934
GEC1326,Techniques de construction,3,1075,478,281348
